Alcelaphus Alcelaphus buselaphus 160937.9
Panthera Panthera leo 158623.9
Tapirus Tapirus pinchaque 156923.4
Connochaetes Connochaetes gnou 156547.5
Zalophus Zalophus wollebaeki 150000
Gorilla Gorilla beringei 149325.2
Stenella Stenella coeruleoalba 142102.96
Zalophus Zalophus californianus 137194.9
Damaliscus Damaliscus lunatus 136000.3
Sus Sus barbatus 135806
Sus Sus ahoenobarbus 135000
Capricornis Capricornis rubidus 135000
Pagophilus Pagophilus groenlandicus 132250
Steno Steno bredanensis 130000
Capra Capra sibirica 130000
Lagenorhynchus Lagenorhynchus obscurus 127499.99
Sus Sus oliveri 125725.94
Sus Sus bucculentus 125725.94
Tremarctos Tremarctos ornatus 123177
Inia Inia geoffrensis 121430.8
Lama Lama guanicoe 120000
Lagenorhynchus Lagenorhynchus australis 119999.99
Ailuropoda Ailuropoda melanoleuca 118000
Lissodelphis Lissodelphis peronii 116000
Ovis Ovis ammon 113998.7
Lissodelphis Lissodelphis borealis 113000
Gorilla Gorilla gorilla 112589
Blastocerus Blastocerus dichotomus 112518.5
Lipotes Lipotes vexillifer 112138.3
Capricornis Capricornis thar 112000
Capricornis Capricornis milneedwardsii 112000
Capricornis Capricornis sumatraensis 110942.2
Ursus Ursus americanus 110500
Stenella Stenella frontalis 109999.99
Lagenorhynchus Lagenorhynchus cruciger 109999.99
Lagenorhynchus Lagenorhynchus obliquidens 109694.46
Rangifer Rangifer tarandus 109088.5
Phocoenoides Phocoenoides dalli 106042.53
Arctocephalus Arctocephalus forsteri 101250
Arctocephalus Arctocephalus townsendi 101063.7
Capra Capra walie 100144
Sousa Sousa teuszii 99999.99
Melursus Melursus ursinus 99999.99
Ursus Ursus thibetanus 99714.19
Phoca Phoca largha 98879.18
Pseudoryx Pseudoryx nghetinhensis 97842.2
Arctocephalus Arctocephalus gazella 96599.99
Addax Addax nasomaculatus 96077.36
Rucervus Rucervus eldii 95471.61
Arctocephalus Arctocephalus philippii 94999.99
Tragelaphus Tragelaphus imberbis 94320.39
Ammotragus Ammotragus lervia 94202.22
Platanista Platanista gangetica 93481.96
Babyrousa Babyrousa babyrussa 92950.09
Arctocephalus Arctocephalus tropicalis 92222.55
Stenella Stenella clymene 92084.135
Ovis Ovis nivicola 90000
Histriophoca Histriophoca fasciata 90000
Pusa Pusa sibirica 89499.99
Sus Sus verrucosus 89406.23
Kobus Kobus leche 88645.04
Tragelaphus Tragelaphus angasii 87616.76
Phoca Phoca vitulina 87316.66
Kobus Kobus megaceros 85805.93
Babyrousa Babyrousa togeanensis 85000
Odocoileus Odocoileus hemionus 84560.57
Sus Sus scrofa 84471.54
Panthera Panthera onca 83943.09
Phacochoerus Phacochoerus africanus 82499.99
Kobus Kobus kob 80035.21
Babyrousa Babyrousa celebensis 80000
Delphinus Delphinus delphis 79271.69
Delphinus Delphinus capensis 79271.69
Beatragus Beatragus hunteri 79132.17
Damaliscus Damaliscus pygargus 77784.55
Odocoileus Odocoileus virginianus 75901.25
Oryx Oryx leucoryx 75788.24
Phacochoerus Phacochoerus aethiopicus 75607.52
Tragelaphus Tragelaphus spekii 75554.25
Nilgiritragus Nilgiritragus hylocrius 75000
Ovis Ovis canadensis 74644.87
Cephalorhynchus Cephalorhynchus commersonii 72400
Oreamnos Oreamnos americanus 72105.4
Kobus Kobus vardonii 71462.72
Nanger Nanger dama 71424.81
Capra Capra aegagrus 71350.77625
